shapeColor,studyLoops.thisRepN,studyLoops.thisTrialN,studyLoops.thisN,studyLoops.thisIndex,testLoops.thisRepN,testLoops.thisTrialN,testLoops.thisN,testLoops.thisIndex,textWelcome.started,textWelcome.stopped,keyEndWelcome.keys,keyEndWelcome.rt,keyEndWelcome.started,keyEndWelcome.stopped,textBlank.started,textBlank.stopped,keyStudyDemo.keys,keyStudyDemo.rt,keyStudyDemo.started,keyStudyDemo.stopped,polygonStudy.started,polygonStudy.stopped,textBeginTest.started,textBeginTest.stopped,spaceBeginTest.keys,spaceBeginTest.rt,spaceBeginTest.started,spaceBeginTest.stopped,polygonTest.started,polygonTest.stopped,textThanks.started,textThanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,19.747692981996806,None,space,15.879250743018929,19.747692981996806,None,,,,,,,,,,,,,,,,,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
red,0,0,0,2,,,,,,,,,,,48.52909340601764,None,space,12.343282381014433,36.155638093012385,None,36.155638093012385,None,,,,,,,,,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
blue,0,1,1,0,,,,,,,,,,,50.79539115400985,None,space,1.740186482988065,49.030717988993274,None,49.030717988993274,None,,,,,,,,,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
yellow,0,2,2,3,,,,,,,,,,,52.24587205299758,None,space,0.9281755409901962,51.29874150300748,None,51.29874150300748,None,,,,,,,,,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
purple,0,3,3,5,,,,,,,,,,,53.795362902019406,None,space,1.0329778110026382,52.74594313901616,None,52.74594313901616,None,,,,,,,,,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
black,0,4,4,4,,,,,,,,,,,55.511576557008084,None,space,1.1955511179985479,54.29537893901579,None,54.29537893901579,None,,,,,,,,,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
green,0,5,5,1,,,,,,,,,,,57.245296662993496,None,space,1.2147332210151944,56.01219728399883,None,56.01219728399883,None,,,,,,,,,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
,,,,,,,,,,,,,,,,,,,,,,,57.74645873301779,None,space,4.728463100007502,57.74645873301779,None,,,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
red,,,,,0,0,0,2,,,,,,,65.99436764701386,None,,,,,,,,,,,,,62.996337590011535,None,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
orange,,,,,0,1,1,6,,,,,,,69.50997993099736,None,,,,,,,,,,,,,66.4953222690092,None,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
yellow,,,,,0,2,2,3,,,,,,,73.0108368069923,None,,,,,,,,,,,,,70.01441862099455,None,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
green,,,,,0,3,3,1,,,,,,,76.50936713800183,None,,,,,,,,,,,,,73.50943213701248,None,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
black,,,,,0,4,4,4,,,,,,,80.0087932329916,None,,,,,,,,,,,,,77.00929874999565,None,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
purple,,,,,0,5,5,5,,,,,,,83.50856985000428,None,,,,,,,,,,,,,80.50931808000314,None,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
pink,,,,,0,6,6,7,,,,,,,86.99199505001889,None,,,,,,,,,,,,,83.991443403007,None,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
blue,,,,,0,7,7,0,,,,,,,90.5081708439975,None,,,,,,,,,,,,,87.49308228699374,None,,,,001,2021_Feb_22_1806,libraryTutorialPsychoPy,2021.1.0,59.35353060754788,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.00815367200994,None,,,,,,,
