shapeColor,studyLoops.thisRepN,studyLoops.thisTrialN,studyLoops.thisN,studyLoops.thisIndex,testLoops.thisRepN,testLoops.thisTrialN,testLoops.thisN,testLoops.thisIndex,textWelcome.started,textWelcome.stopped,keyEndWelcome.keys,keyEndWelcome.rt,keyEndWelcome.started,keyEndWelcome.stopped,textBlank.started,textBlank.stopped,keyStudyDemo.keys,keyStudyDemo.rt,keyStudyDemo.started,keyStudyDemo.stopped,polygonStudy.started,polygonStudy.stopped,textBeginTest.started,textBeginTest.stopped,spaceBeginTest.keys,spaceBeginTest.rt,spaceBeginTest.started,spaceBeginTest.stopped,polygonTest.started,polygonTest.stopped,textThanks.started,textThanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,12.703582540998468,None,space,1.5456789559975732,12.703582540998468,None,,,,,,,,,,,,,,,,,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
purple,0,0,0,5,,,,,,,,,,,15.992947582999477,None,space,1.1862756039772648,14.783086719980929,None,14.783086719980929,None,,,,,,,,,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
black,0,1,1,4,,,,,,,,,,,16.79249221799546,None,space,0.26649624601122923,16.49473715899512,None,16.49473715899512,None,,,,,,,,,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
red,0,2,2,2,,,,,,,,,,,17.57618820699281,None,space,0.2597890210163314,17.293423677998362,None,17.293423677998362,None,,,,,,,,,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
yellow,0,3,3,3,,,,,,,,,,,18.35867233099998,None,space,0.2595222989912145,18.077887697989354,None,18.077887697989354,None,,,,,,,,,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
blue,0,4,4,0,,,,,,,,,,,19.108803912997246,None,space,0.2219934180029668,18.85933858898352,None,18.85933858898352,None,,,,,,,,,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
green,0,5,5,1,,,,,,,,,,,19.908599277987378,None,space,0.27267479902366176,19.608550689998083,None,19.608550689998083,None,,,,,,,,,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
,,,,,,,,,,,,,,,,,,,,,,,20.409082024998497,None,space,0.24013879298581742,20.409082024998497,None,,,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
black,,,,,0,0,0,4,,,,,,,24.192765332991257,None,,,,,,,,,,,,,21.176387390994933,None,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
pink,,,,,0,1,1,7,,,,,,,27.69238877398311,None,,,,,,,,,,,,,24.69286636900506,None,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
purple,,,,,0,2,2,5,,,,,,,31.19244406899088,None,,,,,,,,,,,,,28.192445826978656,None,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
green,,,,,0,3,3,1,,,,,,,34.69174673498492,None,,,,,,,,,,,,,31.6925565089914,None,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
orange,,,,,0,4,4,6,,,,,,,38.19157613097923,None,,,,,,,,,,,,,35.19246735499473,None,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
red,,,,,0,5,5,2,,,,,,,41.689924670004984,None,,,,,,,,,,,,,38.69003902398981,None,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
yellow,,,,,0,6,6,3,,,,,,,45.18965365499025,None,,,,,,,,,,,,,42.18984887399711,None,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
blue,,,,,0,7,7,0,,,,,,,48.688415168988286,None,,,,,,,,,,,,,45.689223142981064,None,,,,001,2021_Feb_22_1800,libraryTutorialPsychoPy,2021.1.0,59.98326455572383,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.18952647698461,None,,,,,,,
