shapeColor,studyLoops.thisRepN,studyLoops.thisTrialN,studyLoops.thisN,studyLoops.thisIndex,textWelcome.started,textWelcome.stopped,keyEndWelcome.keys,keyEndWelcome.rt,keyEndWelcome.started,keyEndWelcome.stopped,textBlank.started,textBlank.stopped,keyStudyDemo.keys,keyStudyDemo.rt,keyStudyDemo.started,keyStudyDemo.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,11.509253786003683,None,space,1.0218845570052508,11.509253786003683,None,,,,,,,,,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
red,0,0,0,2,,,,,,,13.61124737499631,None,space,0.5208365099970251,13.066289553011302,None,13.066289553011302,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
green,0,1,1,1,,,,,,,14.60991384400404,None,space,0.4607601559837349,14.126433619996533,None,14.126433619996533,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
yellow,0,2,2,3,,,,,,,15.543153448990779,None,space,0.4132683000061661,15.109853711008327,None,15.109853711008327,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
blue,0,3,3,0,,,,,,,16.476290340011474,None,space,0.4080553019884974,16.043069870996987,None,16.043069870996987,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
pink,0,4,4,7,,,,,,,17.426845078007318,None,space,0.41879318800056353,16.976371400000062,None,16.976371400000062,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
orange,0,5,5,6,,,,,,,18.359963396011153,None,space,0.4039224410080351,17.927204682986485,None,17.927204682986485,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
purple,0,6,6,5,,,,,,,19.242591465997975,None,space,0.3599159760051407,18.859213532996364,None,18.859213532996364,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
black,0,7,7,4,,,,,,,20.17573653900763,None,space,0.4125633219955489,19.74261586900684,None,19.74261586900684,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
yellow,1,0,8,3,,,,,,,21.059382439998444,None,space,0.35903185000643134,20.67609328200342,None,20.67609328200342,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
orange,1,1,9,6,,,,,,,21.95925667200936,None,space,0.379808386991499,21.559454936999828,None,21.559454936999828,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
red,1,2,10,2,,,,,,,22.87601937900763,None,space,0.38335718898451887,22.459777329000644,None,22.459777329000644,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
purple,1,3,11,5,,,,,,,23.875321264989907,None,space,0.4673414310091175,23.375824198999908,None,23.375824198999908,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
blue,1,4,12,0,,,,,,,24.692229906999273,None,space,0.2918798290193081,24.375254310987657,None,24.375254310987657,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
black,1,5,13,4,,,,,,,25.458667414990487,None,space,0.24293347902130336,25.192263839999214,None,25.192263839999214,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
pink,1,6,14,7,,,,,,,26.04257722600596,None,space,0.06014622002840042,25.958979804010596,None,25.958979804010596,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
green,1,7,15,1,,,,,,,26.64264370899764,None,space,0.0686749620072078,26.542461133009056,None,26.542461133009056,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
green,2,0,16,1,,,,,,,27.60928324199631,None,space,0.43682137699215673,27.14231185198878,None,27.14231185198878,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
yellow,2,1,17,3,,,,,,,28.325239633995807,None,space,0.19028763298410922,28.108868745010113,None,28.108868745010113,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
red,2,2,18,2,,,,,,,29.108311733987648,None,space,0.25842605001525953,28.82472905301256,None,28.82472905301256,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
pink,2,3,19,7,,,,,,,29.874688437994337,None,space,0.2430487879901193,29.608150588988792,None,29.608150588988792,None,,001,2021_Feb_21_2357,libraryTutorialPsychoPy,2021.1.0,60.171263061078754,
